City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
grunberg,50.59,8.96,48.0,86,40,1.12,DE,1584485479
zhezkazgan,47.8,67.71,25.07,75,38,4.25,KZ,1584485479
gizo,-8.1,156.84,83.62,70,21,5.26,SB,1584485479
tabuk,17.42,121.44,71.04,82,75,6.8,PH,1584485480
nong khae,14.34,100.87,82.4,83,20,6.93,TH,1584485480
kabare,-2.47,28.82,60.73,96,100,1.54,CD,1584485480
midland,32.0,-102.08,78.8,38,40,12.75,US,1584485230
arroio grande,-32.24,-53.09,69.01,79,94,8.21,BR,1584485481
zhuhai,22.28,113.57,70.0,88,81,3.36,CN,1584485481
iseyin,7.97,3.6,80.94,76,92,8.86,NG,1584485481
mikhaylovka,50.06,43.24,33.6,53,0,2.08,RU,1584485482
presidencia roque saenz pena,-26.79,-60.44,85.98,46,58,4.65,AR,1584485482
grand gaube,-20.01,57.66,75.2,94,40,2.24,MU,1584485483
ilebo,-4.32,20.58,69.93,95,100,1.59,CD,1584485483
mildura,-34.2,142.15,75.99,43,0,8.05,AU,1584485483
sabla,12.75,4.71,78.31,7,100,6.73,NG,1584485483
huntington,38.42,-82.45,50.0,76,90,5.82,US,1584485484
antalaha,-14.9,50.28,78.37,84,0,5.1,MG,1584485484
devils lake,48.11,-98.87,30.2,74,1,11.41,US,1584485484
riyadh,24.69,46.72,75.2,36,75,9.17,SA,1584485481
kabalo,-6.05,26.92,68.59,98,100,1.61,CD,1584485485
port keats,-14.25,129.55,85.86,53,2,8.79,AU,1584485485
komsomolskiy,40.43,71.72,53.6,46,72,6.93,UZ,1584485486
orange,33.7,-117.77,62.6,53,90,4.7,US,1584485216
aklavik,68.22,-135.01,23.0,73,40,4.74,CA,1584485282
agadez,19.75,10.25,68.76,11,0,2.19,NE,1584485486
lazaro cardenas,17.96,-102.2,80.65,67,0,7.76,MX,1584485487
vila franca do campo,37.72,-25.43,59.0,72,20,5.82,PT,1584485487
navirai,-23.07,-54.19,78.53,75,19,4.72,BR,1584485488
goure,13.98,10.27,82.0,8,100,5.99,NE,1584485488
hailar,49.2,119.7,18.72,86,65,14.14,CN,1584485488
bathsheba,13.22,-59.52,78.8,69,40,13.87,BB,1584485489
barabai,-2.58,115.38,78.91,78,16,2.89,ID,1584485489
havre-saint-pierre,50.23,-63.6,24.8,100,90,16.11,CA,1584485490
ambon,-3.7,128.18,82.47,72,47,4.81,ID,1584485490
boyuibe,-20.42,-63.28,80.6,69,90,8.23,BO,1584485490
zelenoborsk,61.47,64.03,19.89,88,0,9.17,RU,1584485491
butembo,0.15,29.28,63.19,87,95,3.85,CD,1584485491
henties bay,-22.12,14.28,62.01,94,0,5.3,NA,1584485491
naryan-mar,67.67,53.09,25.36,93,100,19.37,RU,1584485300
birjand,32.87,59.22,53.6,58,67,13.87,IR,1584485492
sarai,53.75,41.02,31.14,76,0,8.7,RU,1584485492
finschhafen,-6.6,147.87,81.32,82,87,16.46,PG,1584485493
oktyabrskiy,54.48,53.47,31.15,94,87,6.76,RU,1584485493
bumba,2.18,22.47,73.13,93,100,5.59,CD,1584485493
babol,36.55,52.68,50.7,85,100,2.84,IR,1584485274
waynesville,35.49,-82.99,66.2,63,90,1.66,US,1584485494
bilma,18.69,12.92,73.4,9,0,9.51,NE,1584485494
pasighat,28.07,95.33,63.39,55,5,3.42,IN,1584485495
elliot,-31.33,27.85,55.35,90,69,7.07,ZA,1584485495
bilibino,68.05,166.44,18.16,92,100,7.58,RU,1584485495
mucuri,-18.09,-39.55,78.94,84,11,7.31,BR,1584485495
mangrol,21.12,70.12,77.67,55,0,10.83,IN,1584485496
batagay,67.63,134.63,-2.76,95,100,3.94,RU,1584485496
bayan,46.08,127.4,32.65,92,85,2.28,CN,1584485496
coihaique,-45.58,-72.07,62.6,51,0,4.7,CL,1584485497
ravar,31.27,56.81,59.59,38,67,2.04,IR,1584485497
mundra,22.85,69.73,72.03,25,0,8.75,IN,1584485497
san cristobal,7.77,-72.22,86.0,55,40,4.7,VE,1584485497
kalmunai,7.42,81.82,80.67,77,100,3.56,LK,1584485498
katangli,51.71,143.23,26.42,84,49,7.63,RU,1584485498
daru,-9.08,143.21,85.55,67,68,5.93,PG,1584485498
staryy nadym,65.61,72.68,16.84,85,94,16.73,RU,1584485498
astana,51.18,71.45,26.6,92,90,15.66,KZ,1584485334
guerrero negro,27.98,-114.06,67.03,47,0,11.27,MX,1584485499
mandal,25.45,74.57,63.59,35,0,3.04,IN,1584485499
bolobo,-2.17,16.23,77.22,79,86,2.95,CD,1584485499
weligama,5.97,80.42,77.32,76,100,11.56,LK,1584485500
pangnirtung,66.15,-65.71,5.0,77,90,16.11,CA,1584485500
saryagash,41.45,69.17,53.6,71,64,2.24,KZ,1584485500
fairmont,39.49,-80.14,46.4,87,90,5.82,US,1584485501
caravelas,-17.71,-39.25,81.1,82,0,10.65,BR,1584485502
ayan,56.45,138.17,17.55,83,37,2.77,RU,1584485502
kaman,27.65,77.27,64.33,47,12,4.5,IN,1584485502
kaohsiung,22.62,120.31,69.01,82,20,3.36,TW,1584485503
ayagoz,47.97,80.44,36.19,84,100,2.77,KZ,1584485503
hun,29.13,15.95,60.39,55,96,15.01,LY,1584485503
haimen,23.19,116.61,64.4,82,75,2.24,CN,1584485504
rena,61.13,11.36,28.0,82,63,5.01,NO,1584485504
mecca,21.43,39.83,71.64,53,0,3.04,SA,1584485445
sayyan,15.17,44.32,58.01,69,86,3.65,YE,1584485505
pacific grove,36.62,-121.92,55.99,81,75,5.82,US,1584485505
magadan,59.57,150.8,9.91,85,90,3.27,RU,1584485505
kropotkin,45.44,40.58,34.0,58,100,10.47,RU,1584485506
piacabucu,-10.41,-36.43,79.68,85,100,7.45,BR,1584485309
carutapera,-1.2,-46.02,82.02,80,0,12.24,BR,1584485506
akureyri,65.68,-18.09,32.0,96,90,26.4,IS,1584485507
horsham,51.06,-0.33,50.0,93,75,10.29,GB,1584485507
hit,33.64,42.83,67.17,58,100,22.35,IQ,1584485508
camana,-16.62,-72.71,66.83,85,92,4.9,PE,1584485509
fez,34.04,-5.0,50.0,81,75,9.17,MA,1584485240
sitka,57.05,-135.33,42.8,70,1,12.75,US,1584485510
fredonia,42.44,-79.33,42.8,81,40,11.41,US,1584485510
ust-ilimsk,58.0,102.66,2.14,96,63,4.34,RU,1584485510
wamba,8.93,8.6,76.77,16,100,5.46,NG,1584485408
san carlos de bariloche,-41.15,-71.31,69.8,62,40,6.93,AR,1584485303
bam,29.11,58.36,63.9,25,0,1.34,IR,1584485512
tarakan,3.3,117.63,77.34,88,52,4.21,ID,1584485391
zhigansk,66.77,123.37,-28.52,91,0,11.27,RU,1584485297
katav-ivanovsk,54.75,58.2,20.53,96,99,6.33,RU,1584485513
ola,59.58,151.28,9.97,80,93,1.57,RU,1584485513
dunedin,-45.87,170.5,57.99,56,0,10.0,NZ,1584485513
gobabis,-22.45,18.97,68.0,82,64,2.24,NA,1584485514
tamara,14.15,-87.33,86.0,40,40,19.46,HN,1584485514
rexburg,43.83,-111.79,48.2,66,75,5.82,US,1584485514
xinqing,48.23,129.5,26.65,89,100,4.54,CN,1584485515
cuiluan,47.72,128.65,27.48,88,100,6.85,CN,1584485515
concarneau,47.88,-3.92,46.0,93,51,1.32,FR,1584485515
takoradi,4.88,-1.76,80.2,85,100,6.02,GH,1584485516
tecolutla,20.48,-97.02,80.6,78,90,6.93,MX,1584485516
cuorgne,45.39,7.65,53.01,61,0,3.36,IT,1584485516
mount isa,-20.73,139.5,82.4,37,0,5.82,AU,1584485517
jiehu,35.54,118.45,57.0,99,0,4.0,CN,1584485517
teya,60.38,92.63,11.08,85,100,5.19,RU,1584485517
jinka,5.65,36.65,70.54,75,95,3.31,ET,1584485518
pasni,25.26,63.47,67.59,26,0,5.61,PK,1584485518
kitimat,54.05,-128.65,48.2,36,20,11.41,CA,1584485518
tigil,57.8,158.67,14.97,80,100,2.01,RU,1584485519
namie,37.48,141.0,52.0,93,20,3.36,JP,1584485519
chapais,49.78,-74.85,26.6,58,1,8.05,CA,1584485519
muros,42.78,-9.06,63.0,87,0,5.82,ES,1584485520
port pirie,-33.18,138.02,71.6,35,16,3.36,AU,1584485520
khani,41.96,42.96,37.4,93,90,2.24,GE,1584485520
niceville,30.52,-86.48,80.6,73,20,10.29,US,1584485521
skegness,53.14,0.34,54.0,81,75,21.92,GB,1584485521
orocue,4.79,-71.34,88.75,34,77,4.76,CO,1584485521
fort collins,40.59,-105.08,57.0,53,1,1.99,US,1584485404
monte alegre,-2.01,-54.07,77.4,91,67,5.48,BR,1584485303
lumberton,34.62,-79.01,61.0,93,90,3.36,US,1584485522
surt,31.21,16.59,57.15,75,100,7.67,LY,1584485523
kodinsk,58.69,99.18,5.02,95,81,4.83,RU,1584485523
bardiyah,31.76,25.09,56.86,59,0,9.24,LY,1584485523
matay,28.42,30.78,51.91,62,0,12.15,EG,1584485524
chaohu,31.6,117.87,50.0,76,25,6.71,CN,1584485524
clarence town,-32.58,151.78,71.01,88,20,11.41,AU,1584485524
birao,10.28,22.79,77.95,18,10,7.54,CF,1584485524
teguise,29.06,-13.56,60.8,67,20,17.22,ES,1584485525
santa maria,-29.68,-53.81,75.43,66,0,7.27,BR,1584485525
kathu,7.92,98.33,75.2,83,20,2.24,TH,1584485368
taperoa,-7.21,-36.83,77.09,79,27,1.81,BR,1584485526
basco,20.45,121.97,73.92,74,100,15.93,PH,1584485526
soyo,-6.13,12.37,76.84,93,100,2.39,AO,1584485527
deseronto,44.2,-77.05,42.8,60,75,13.87,CA,1584485527
betanzos,43.28,-8.21,55.0,81,0,1.12,ES,1584485528
ekhabi,53.51,142.97,21.65,91,50,7.83,RU,1584485528
bathurst,-33.42,149.58,64.99,47,0,1.95,AU,1584485528
frutal,-20.02,-48.94,73.63,80,50,4.14,BR,1584485530
bosaso,11.28,49.18,78.08,86,100,14.56,SO,1584485530
san blas,21.52,-105.27,84.2,45,40,9.17,MX,1584485530
biryukove,47.96,39.74,30.2,63,0,4.47,UA,1584485531
tiznit,29.58,-9.5,47.1,86,100,12.93,MA,1584485531
ocos,14.51,-92.19,89.6,55,40,11.41,GT,1584485531
kieta,-6.22,155.63,83.98,69,38,2.57,PG,1584485531
tonantins,-2.87,-67.8,76.32,92,95,2.55,BR,1584485532
luderitz,-26.65,15.16,62.6,77,0,8.05,NA,1584485532
peleduy,59.63,112.74,8.83,93,100,8.86,RU,1584485532
kuhdasht,33.53,47.61,50.67,84,82,7.47,IR,1584485532
lubango,-14.92,13.49,61.45,94,100,3.29,AO,1584485533
pitimbu,-7.47,-34.81,82.4,78,20,6.93,BR,1584485533
jiazi,22.88,116.07,68.18,82,78,4.76,CN,1584485533
acapulco,16.86,-99.89,86.0,74,20,11.41,MX,1584485534
katsina,12.99,7.6,76.33,8,53,10.47,NG,1584485534
two hills,53.72,-111.75,18.61,90,100,5.61,CA,1584485534
simao,22.79,100.97,57.2,49,0,1.5,CN,1584485534
shetpe,44.17,52.12,35.82,83,100,15.68,KZ,1584485535
